Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],$Context,$Status
Science/TechNodes/Descriptions/tNode_4v_electronics_01,Text,,"High voltage, handle with care!",Attention ! Forte tension.,Alta tensione. Maneggiare con cura!,"Vorsicht, Hochspannung!",¡Alto voltaje: manipular con cuidado!,高電圧、取扱注意！,고전압입니다. 조심해서 다루세요!,"Wysokie napięcie, zachować ostrożność!",Высокое напряжение! Обращаться с осторожностью!,高压电，请小心操作！,Alta voltagem! Manuseie com cuidado!,高電壓，小心操作！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_4v_hydrogen_01,Text,,More hydrogen for your nuclear engines.,Plus d'hydrogène pour vos propulseurs nucléaires.,Altro idrogeno per i tuoi motori nucleari.,Mehr Wasserstoff für deine Nukleartriebwerke.,Más hidrógeno para tus motores nucleares.,原子力エンジンのためのさらに多くの水素。,핵 엔진을 위한 더 많은 수소입니다.,Więcej wodoru do silników termojądrowych.,Больше водорода для ваших ядерных двигателей.,让你的核能引擎有更多的氢燃料。,Mais hidrogênio para seus motores nucleares.,為核子引擎提供更多氫氣。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_4v_monoprop_01,Text,,That is a really big tank!,Ça c'est un vrai gros réservoir !,È un serbatoio bello grosso!,Das ist ein echt großer Tank!,¡Este depósito es la leche de grande!,これは本当に大きなタンクです！,정말 큰 탱크네요!,To naprawdę wielki zbiornik!,Какой огромный бак!,这罐子可真大啊！,Que tanque grande!,那是非常大的儲存罐！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_4v_payload_01,Text,,Just think how much stuff you can haul around now!,Imaginez un peu tous les trucs que vous allez pouvoir trimballer !,Pensa a quanta roba puoi trasportare adesso!,"Überleg mal, wie viel Zeug du jetzt durch die Gegend transportieren kannst!",¡Piensa en cuántas cosas vas a poder llevar ahora!,これでどれだけの荷物を運べるか、考えてみて！,여러분이 얼마나 많은 물건을 가지고 다닐 수 있는지 생각해 보세요!,"Tylko pomyśl, jak duże rzeczy możesz teraz zapakować do rakiety!","Только подумайте, сколько груза вы сможете перевезти теперь!",现在能搬运的东西超出你的想象！,Pensa só em quanta coisa você pode levar pra lá e pra cá agora!,想想看，現在可以拖著多少東西到處跑！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_4v_rockets_01,Text,,That is a whole lot of fuel!,Ça en fait du carburant !,Quanto carburante!,Das ist ganz schön viel Treibstoff!,¡Eso es una barbaridad de combustible!,実にたくさんの燃料だ！,엄청난 양의 연료입니다!,To całe mnóstwo paliwa!,Это же целая гора топлива!,燃料真多啊！,É combustível até dizer chega!,那可是一大堆燃料！,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_4v_rover_01,Text,,Trucks on Dres? Have you seen that ridge?,Des rovers sur Dres ? Vous avez vu cette crête ?,Dei camion su Dres? Ma l'hai vista quella cresta?,LKW auf Dres? Hast du diesen Kamm gesehen?,¿Camiones en Dres? ¿Tú has visto esa cresta?,ドレスにトラック？ あの尾根を見た？,드레스에 트럭이? 저 능선을 보셨나요?,Ciężarówki na Dres? A widzieliście te góry?,Грузовики на Дресе? А вы тамошние горы видели?,Dres上的卡车？你看到那山脊了吗？,Caminhões em Dres? Você não viu aquela cordilheira?,德雷斯星上的卡車？你有看到那個山脊嗎？,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_4v_trusses_01,Text,,More trusses in a variety of shapes and sizes for your building enjoyment.,Toujours plus de structures de maintien pour toujours plus de tests de construction.,Altre travature in varie forme e dimensioni per ogni tua esigenza edile.,Noch mehr Traversen in verschiedenen Formen und Größen – da kann der Bauspaß ja losgehen.,Más armazones en una variedad de formas y tamaños para que te lo pases bomba construyendo.,さまざまな形状とサイズのトラスがたっぷりで、建築を楽しめます。,건축의 즐거움을 위해 다양한 모양과 크기의 더 많은 트러스가 있습니다.,Więcej kratownic różnych rozmiarów i kształtów. Dla miłośników budowania z klocków.,"Еще больше ферм разных форм и размеров, чтобы вам было веселее строить.",更多各种形状和尺寸的桁架，让你的建造充满乐趣。,Mais treliças com formatos e tamanhos variados para as suas necessidades construtivas.,更多不同形狀和尺寸的桁架，讓你盡情享受建造樂趣。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_4v_trusses_02,Text,,Just when you thought you had enough trusses.,Vous pensiez avoir toutes les structures de maintien qu'il vous fallait ?,Proprio quando pensavi di avere travature a sufficienza.,"Gerade, als du dachtest, du hättest genug Traversen ...",Por si pensabas que tenías suficientes armazones.,トラスはもう十分だと思ったのに。,트러스가 충분하다고 생각했을 때.,"A już ci się wydawało, że masz dosyć kratownic.",Ферм много не бывает.,当你以为桁架已经够多的时候，现实让你出乎意料。,Justo quando você pensou que não precisava de mais treliças.,就在你以為自己已經有夠多桁架時。,Tech Node Description,Ready to Test
Science/TechNodes/Descriptions/tNode_4v_utility_01,Text,,Big legs for big craft.,Un gros train d'atterrissage pour un gros appareil.,Grandi carrelli per un grande veicolo.,Große Beine für große Fahrzeuge.,Patas grandes para naves grandes.,大きな機体のための大きな脚。,대형 공예품을 위한 대형 다리.,Wielkie nogi do wielkich statków.,Большие ноги для большого аппарата.,航天器越大，支架也越大。,Pernas grandes para naves grandes.,大型飛行器的大型著陸架。,Tech Node Description,Ready to Test
Science/TechNodes/Names/tNode_0v_aero,Text,,Aerial Drones,Drones aériens,Droni aerei,Flugdrohnen,Drones aéreos,空中ドローン,무인 항공기,Latające drony,Беспилотники,空中无人机,Drones Aéreos,空中無人機,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_0v_electronics,Text,,Probes,Sondes,Sonde,Sonden,Sondas,探査機,위성,Sondy,Зонды,探测器,Sondas,探測器,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_0v_fuelLines,Text,,Fuel Lines,Conduites d'ergol,Condutture carburante,Treibstoffleitungen,Conductos de combustible,燃料配管,연료 라인,Przewody paliwowe,Топливопроводы,燃料管线,Linhas de Combustível,燃料管,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_0v_rcs,Text,,Reaction Control System,Système de contrôle par réaction,Sistema controllo reazione,"Reaktions-
 
 führungssystem",Sistema de control de reacción,姿勢制御システム,반동추진 자세제어 시스템,System manewrowy,Система управления реакцией,反应控制系统,Sistema de controle de reação,反應控制系統,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_0v_rockets_01,Text,,Tiny Engines,Mini propulseurs,Motori minuscoli,Winzige Triebwerke,Motores diminutos,極小エンジン,초소형 엔진,Maleńkie silniki,Крошечные двигатели,袖珍引擎,Motores Pequeninos,微型引擎,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_0v_rockets_02,Text,,Precision Propulsion,Propulsion de précision,Propulsione di precisione,Präzisionsantriebe,Propulsión de precisión,精密推進システム,정밀 추진,Napęd precyzyjny,Высокоточные двигатели,精确推进,Propulsão de Precisão,精確推進,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_0v_science_01,Text,,Research Miniaturization,Recherches en miniaturisation,Miniaturizzazione di ricerca,"Forschungs-
 
 miniaturisierung",Miniaturización de la investigación,小型化技術研究,연구 소형화,Miniaturyzacja eksperymentalna,Исследования миниатюризации,微型化研究,Miniaturização,研究微型化,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_0v_science_02,Text,,Radiation Science,Science des radiations,Scienza radioattiva,Strahlungsforschung,Ciencia de radiación,放射線科学,방사선 과학,Promieniowaniologia,Исследования радиации,辐射科学,Ciência da Radiação,輻射科學,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_0v_struts,Text,,Struts,Vérins,Puntoni,Streben,Riostras,ストラット,스트럿,Rozpory,Стойки,支柱,Estruturas,支架,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_0v_trusses,Text,,Micro-Construction,Microconstruction,Microcostruzioni,Mikro-Konstruktionen,Microconstrucción,ミクロ建造技術,마이크로 건설,Mikrobudowa,Микро-конструкции,微型建造,Microconstrução,微型建造,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_0v_utility,Text,,Lights & Utilities,Lumières et services,Luci e utilità,Licht & Betriebsmittel,Luces y herramientas,ライトとユーティリティ,조명 및 유틸리티,Światła i takie tam,Освещение и жизнеобеспечение,照明与水电,Luzes e Utilidades,照明與工具,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_aero_01,Text,,Aerodynamics & Stability,Aérodynamique et stabilité,Aerodinamica e stabilità,Aerodynamik & Stabilität,Aerodinámica y estabilidad,エアロダイナミクスとスタビリティ,공기역학 및 안정성,Aerodynamika i stabilność,Аэродинамика и устойчивость,空气动力学与稳定性,Aerodinâmica e Estabilidade,空氣動力學與穩定性,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_aero_02,Text,,Light Aviation,Aviation légère,Aviazione leggera,Einfache Luftfahrt,Aviación ligera,軽飛行機,경량 비행,Oświetlenie lotnicze,Легкая авиация,轻型航空学,Aviação Leve,輕型航空,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_aero_03,Text,,Precision Aerody namics,Aérodynamique de précision,Aerodinamica di precisione,"Präzision-
 
 saerodynamik",Aerodinámica de precisión,精密エアロダイナミクス,정밀 공기역학,Aerodynamika precyzyjna,Высокоточная аэродинамика,精准空气动力学,Aerodinâmica de Precisão,精密空氣動力學,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_construction_01,Text,,Introductory Construction,Construction basique,Costruzione introduttiva,Bauen für Einsteiger,Construcción introductoria,ロケット建造入門,기초 건설,Konstrukcje podstawowe,Предварительное строительство,初级建造,Construção Introdutória,建造入門,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_decouplers_01,Text,,Specialized Decoupling,Découplage spécialisé,Disaccoppiamento specializzato,Spezialisierte Entkoppler,Desacoplamiento especializado,特殊デカップリング,특수 디커플링,Specjalistyczne rozłączanie,Специализированные отделители,专业分离,Desacoplamento Especializado,專業解耦,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_docking_01,Text,,Basic Docking,Amarrage basique,Attracco basico,Einfache Andockmodule,Acoplamiento básico,ドッキングの基本,기본 도킹,Dokowanie podstawowe,Стандартная стыковка,基础对接,Ancoragem Básica,基本對接,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_electronics_01,Text,,Power Management,Gestion d'énergie,Gestione energia,Energie-Management,Gestión de la energía,電力管理,전력 관리,Zarządzanie energią,Управление энергопотреблением,能源管理,Gerenciamento de Energia,動力管理,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_electronics_02,Text,,Long-Range Probes,Sondes longue portée,Sonde ad ampio raggio,Langreichweiten-Sonden,Sondas de largo alcance,長距離探査機,장거리 위성,Sondy dalekiego zasięgu,Зонды дальнего радиуса действия,远程探测器,Sondas de Longa Distância,遠距探測器,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_electronics_03,Text,,Enhanced Electronics,Électronique avancée,Elettronica migliorata,Verbesserte Elektronik,Electrónica mejorada,強化エレクトロニクス,고급 전자기기,Elektronika zaawansowana,Улучшенная электроника,改良电子学,Eletrônica Aprimorada,增強型電子設備,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_electronics_04,Text,,Durable Power Systems,Systèmes d'énergie durable,Alimentazione durevole,"Haltbare Energie-
 
 versorgungssysteme",Sistemas de propulsión duraderos,高耐久性電源システム,개선된 전력 시스템,Wytrzymałe zasilanie,Прочные энергосистемы,持久电力系统,Sistemas de Energia Duráveis,堅固耐用動力系統,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_monoprop,Text,,Monopropellant Drive,Moteur à monergol,Alimentazione a monopropellente,Monotreibstoff-Antrieb,Propulsor de monopropelente,一液式推進剤駆動,단일추진제 드라이브,Silnik na monergol,Монотопливный двигатель,单组元推进剂驱动,Tração a Monopropelente,單元推進劑驅動器,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_payload,Text,,Small Payloads,Petites charges,Piccoli carichi,Kleine Nutzlast,Cargas útiles pequeñas,小型ペイロード,소형 페이로드,Małe ładownie,Маленькие грузовые модули,小型载荷,Cargas Pequenas,小型酬載,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_rockets_01,Text,,Light Launchers,Lanceurs légers,Vettori leggeri,Leichte Starttriebwerke,Lanzadores ligeros,軽量ランチャー,경량 발사체,Lekkie startery,Легкие носители,轻型发射器,Lançadores Leves,輕型發射器,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_rockets_02,Text,,Solid Fuel Boosters,Propulseurs à ergol solide,Booster a carburante solido,Festtreibstoff-Booster,Aceleradores de combustible sólido,固体燃料ブースター,고체로켓부스터,Silniki pomocnicze na paliwo stałe,Твердотопливные ускорители,固体燃料助推器,Boosters de Combustível Sólido,固態燃料助推器,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_rockets_03,Text,,Orbital Rocketry,Fuséologie orbitale,Missilistica orbitale,Orbital-Raketentechnik,Ingeniería orbital,軌道ロケット技術,궤도 로켓 공학,Orbitalna technika rakietowa,Орбитальные ракеты,轨道火箭学,Foguetes Orbitais,軌道火箭,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_rockets_04,Text,,Mun Landing,Amunissage,Atterraggio su Mun,Mun-Landung,Aterrizaje en la Muna,ムンへの着陸,문 착륙,Lądowanie na Munie,Посадка на Муну,Mun着陆,Pouso em Mun,登陸穆恩星,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_rover,Text,,Rovers,Rovers,Rover,Rover,Róveres,ローバー,로버,Łaziki,Вездеходы,探测车,Rovers,探測車,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_science_01,Text,,Environmental Science,Science environnementale,Scienza ambientale,Umweltwissenschaft,Ciencia medioambiental,環境科学,환경 과학,Nauka o środowisku,Наука об окружающей среде,环境科学,Ciência Ambiental,環境科學,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_science_02,Text,,Orbital Report,Rapport orbital,Rapporto orbitale,Orbitalbericht,Informe orbital,軌道レポート,궤도 보고서,Raport orbitalny,Отчет об орбитальных исследованиях,轨道报告,Relatório Orbital,軌道報告,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_start,Text,,Starting Rocketry,Fuséologie basique,Missilistica base,Raketentechnik für Einsteiger,Ingeniería inicial,初歩ロケット工学,기본 로켓 공학,Startowa technika rakietowa,Базовое ракетостроение,初级火箭学,Introdução aos Foguetes,開始火箭飛行,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_trusses,Text,,Basic Trusses,Structures de maintien basiques,Travature base,Einfache Traversen,Armazones básicos,トラスの基本,기본 트러스,Kratownice podstawowe,Простые фермы,基础桁架,Treliças Básicas,基本桁架,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_utility_01,Text,,Survivability,Survie,Sopravvivenza,Überleben,Capacidad de supervivencia,サバイバビリティ,생존성,Przeżywalność,Живучесть,生存能力,Capacidade de Sobrevivência,生存能力,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_utility_02,Text,,Landing Utilities,Utilitaires d'atterrissage,Dispositivi di atterraggio,Landetechnik,Herramientas de aterrizaje,着陸ユーティリティ,착륙 유틸리티,Różności do lądowania,Техника для посадки,着陆装置,Utilidades de Pouso,降落工具,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_1v_xenon,Text,,Xenon Propulsion,Propulsion au xénon,Propulsione a xeno,Xenon-Antrieb,Propulsión xenón,キセノン推進技術,제논 추진,Napęd ksenonowy,Двигатели на ксеноне,氙气推进,Propulsão a Xenônio,氙氣推進,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_aero_01,Text,,Mk2 Jets,Jets Mk2,Jet Mk2,Mk2 Jets,Reactores Mk2,Mk2ジェット,Mk2 제트,Odrzutowce drugiej generacji,Реактивные самолеты Mk2,Mk2喷气式飞机,Jatos Mk2,Mk2噴射機,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_aero_02,Text,,High-Altitude Aviation,Aviation de haute altitude,Aviazione ad alta quota,Luftfahrt in großen Höhen,Aviación a gran altitud,高高度航空工学,고고도 비행,Lotnictwo wysokościowe,Суперавиация,高海拔航空学,Aviação de Grande Altitude,高空航空,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_aero_03,Text,,Aviation Utility,Utilitaires d'aviation,Utilità aviazione,Luftfahrt-Hilfsmittel,Herramientas de aviación,航空工学ユーティリティ,비행 유틸리티,Różności lotnicze,Авиационная техника,航空应用学,Utilidades de Aviação,航空實用工具,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_construction_01,Text,,Expanded Construction,Construction et expansion,Costruzione ampliata,Erweiterte Konstruktion,Construcción ampliada,拡張建造技術,확장된 건설,Konstrukcje zaawansowane,Расширенная сборка,拓展建筑学,Construção Expandida,擴充建造,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_construction_02,Text,,Precision Machining,Machinerie de précision,Lavorazione di precisione,Präzisionszerspanung,Mecanizado de precisión,精密機械加工,정밀 가공,Frezowanie precyzyjne,Высокоточные машины,精密加工,Usinagem de Precisão,精密加工,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_decouplers_01,Text,,Enhanced Coupling,Couplage avancé,Disaccoppiamento migliorato,Verbesserte Kopplung,Desacoplamiento mejorado,強化連結装置,고급 커플링,Łączniki zaawansowane,Улучшенное соединение,强化对接,Acoplamento Aprimorado,增強耦合器,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_docking,Text,,Tiny & Large Docking,Amarrage petit et grand,Attracco minuscolo e grande,Winzige & große Andockmodule,Acoplamiento diminuto y grande,微小・大型ドッキング装置,초소형 및 대형 도킹,Małe i duże dokowanie,Крошечные и большие стыковочные узлы,微型与大型对接,Ancoragem Pequena e Grande,小型與大型對接,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_electronics_01,Text,,Enlarged Power Systems,Systèmes d'énergie agrandis,Alimentazione allargata,"Vergrößerte Energie-
 
 versorgungssysteme",Sistemas de propulsión ampliados,拡張電力システム,확장된 전력 시스템,Powiększone systemy zasilania,Увеличенные энергосистемы,扩展电力系统,Sistemas de Energia Alargados,加大動力系統,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_electronics_02,Text,,Long-Range Generation,Génération longue portée,Generazione a lungo raggio,Langreichweiten-Generierung,Generación de largo alcance,長期発電,장거리 발전,Generacja dalekiego zasięgu,Генерация дальнего радиуса действия,远程发电,Geração de Longa Distância,遠距發電,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_hydrogen,Text,,Nuclear Propulsion,Propulsion nucléaire,Propulsione nucleare,Nuklearantrieb,Propulsión nuclear,原子力推進技術,핵 추진,Napęd atomowy,Ядерные двигатели,核动力推进,Propulsão Nuclear,核動力推進,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_payload,Text,,Medium Payloads,Charges moyennes,Carichi medi,Mittlere Nutzlast,Cargas útiles medianas,中型ペイロード,중형 페이로드,Średnie ładownie,Средние грузовые модули,中等载荷,Cargas Médias,中型酬載,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_rockets_01,Text,,Power Launchers,Lanceurs puissants,Vettori potenti,"Leistungs-
 
 starttriebwerke",Lanzadores de energía,パワーランチャー,고추력 발사체,Startery dużej mocy,Мощные носители,动力发射器,Lançadores de Energia,動力發射器,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_rockets_02,Text,,Medium Orbital Rockets,Fusées orbitales moyennes,Razzi orbitali medi,Mittlere Orbitalraketen,Cohetes orbitales medianos,中型軌道ロケット,중형 궤도 로켓,Średnie rakiety orbitalne,Средние орбитальные ракеты,中型轨道火箭,Foguetes Orbitais Médios,中型軌道火箭,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_rockets_03,Text,,Medium Launchers,Lanceurs moyens,Vettori medi,Mittlere Starttriebwerke,Lanzadores medianos,中型ランチャー,중형 발사체,Startery średniej mocy,Средние носители,中型发射器,Lançadores Médios,中型發射器,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_rockets_04,Text,,Modular Launchers,Lanceurs modulaires,Vettori modulari,Modulare Starttriebwerke,Lanzadores modulares,モジュール式ランチャー,모듈형 발사체,Startery modułowe,Модульные носители,模块化发射器,Lançadores Modulares,模組化發射器,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_rover,Text,,Autonomous Sampling,Échantillonnage autonome,Raccolta autonoma,Autonome Probenentnahme,Muestreo autónomo,自律型サンプル採取法,자율 샘플링,Autonomiczne naukowanie,Автономный сбор образцов,自主采样,Amostra Autônoma,自主採樣,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_science_01,Text,,Atmospheric Science,Science atmosphérique,Scienza atmosferica,"Atmosphären-
 
 forschung",Ciencia atmosférica,大気科学,대기 과학,Atmosferologia,Исследования атмосферы,大气科学,Ciência Atmosférica,大氣科學,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_science_02,Text,,Aquatic Sciences,Science aquatique,Scienze marine,Aquatische Forschung,Ciencias acuáticas,水圏科学,수중 과학,Wodologia,Исследования океанов,水生科学,Ciência Aquática,水生科學,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_science_03,Text,,Orbital Science,Science orbitale,Scienza orbitale,Orbitalforschung,Ciencia orbital,軌道科学,궤도 과학,Orbitologia,Орбитальные исследования,轨道科学,Ciência Orbital,軌道科學,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_trusses_01,Text,,Medium Trusses,Structures de maintien moyennes,Travature medie,Mittlere Traversen,Armazones medianos,中型トラス,중형 트러스,Średnie kratownice,Средние фермы,中型桁架,Treliças Médias,中型桁架,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_trusses_02,Text,,Medium Truss Adapters,Adaptateurs de structures moyennes,Adattatori travatura medi,Mittlere-Traversen-Adapter,Adaptadores de armazones medianos,中型トラス変換アダプター,중형 트러스 어댑터,Średnie przejściówki kratownicowe,Адаптеры средних ферм,中型桁架转接器,Adaptadores de Treliça Média,中型桁架適配器,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_2v_utility,Text,,Heavy Landings,Atterrissage lourd,Atterraggi pesanti,Schweres Landfahrwerk,Aterrizajes pesados,大型着陸技術,대형 착륙,Ciężkie podwozia,Посадка тяжелой техники,重型着陆,Pousos Pesados,重型降落,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_aero_01,Text,,Large Aerodynamics,Grande aérodynamique,Aerodinamica grande,Große Aerodynamik-Bauteile,Aerodinámica grande,大型エアロダイナミクス,대형 공기역학,Duża aerodynamika,Аэродинамика большой техники,大型空气动力学,Aerodinâmica Grande,大型飛行器空氣動力學,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_aero_02,Text,,Jumbo Jets,Jumbo jets,Jumbo jet,Jumbojets,Reactores enormes,ジャンボジェット機,점보 제트,Jumbo jety,Реактивные авиалайнеры,大型喷气式飞机,Jatos Jumbos,巨型噴射機,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_aero_03,Text,,Airliners,Avions de ligne,Aerei di linea,Verkehrsflugzeuge,Aviones de pasajeros,旅客機,에어라이너,Samoloty luksusowe,Пассажирские самолеты,大型客机,Aviões Comerciais,客機,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_aero_04,Text,,Spaceplanes,Avions spatiaux,Spazioplani,Raumschiffe,Aviones espaciales,スペースプレーン,우주선,Samoloty kosmiczne,Космопланы,航天器,Aviões Espaciais,太空飛機,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_aero_05,Text,,Mk3 Fuel Systems,Systèmes d'alimentation Mk3,Sistemi di alimentazione Mk3,Mk3 Treibstoffsysteme,Sistemas de combustible Mk3,Mk3燃料システム,Mk3 연료 시스템,Systemy paliwowe 3. generacji,Топливные системы Mk3,Mk3燃料系统,Sistemas de Combustível Mk3,Mk3燃料系統,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_construction_01,Text,,Heavy Construction,Construction lourde,Costruzione pesante,Schwere Konstruktionen,Construcción pesada,重量建造技術,대형 건설,Ciężkie konstrukcje,Сборка тяжелых объектов,重型建筑学,Construção Pesada,重型建造,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_decouplers_01,Text,,Large Coupling,Grand couplage,Accoppiamenti grandi,Große Kopplungen,Desacoplamiento grande,大型連結装置,대형 커플링,Wielkie łączniki,Соединение больших объектов,大型连接,Acoplamento Grande,大型耦合器,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_docking_01,Text,,Specialized Docking,Amarrage spécialisé,Accoppiamento specializzato,Spezialisierte Andockmodule,Acoplamiento especializado,特殊ドッキング装置,특수 도킹,Specjalistyczne dokowanie,Специализированная стыковка,专用对接,Ancoragem Especializada,專用對接,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_electronics_01,Text,,Deep-Space Probes,Sondes en espace profond,Sonde per lo spazio profondo,Tiefenraum-Sonden,Sondas de espacio profundo,深宇宙探査機,심우주 위성,Sondy międzygwiezdne,Зонды глубокого космоса,深空探测器,Sondas de Espaço Profundo,外太空探測器,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_electronics_02,Text,,Nuclear Power,Énergie nucléaire,Alimentazione nucleare,Atomenergie,Potencia nuclear,原子力,핵 출력,Energetyka jądrowa,Ядерные реакторы,核动力,Energia Nuclear,核能,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_hydrogen_01,Text,,Heavy Nuclear Propulsion,Propulsion nucléaire lourde,Propulsione nucleare pesante,Schwere Nuklearantriebe,Propulsión nuclear pesada,重原子力推進技術,대형 핵 추진,Ciężki napęd atomowy,Тяжелые ядерные двигатели,重型核动力推进,Propulsão Nuclear Pesada,重型核動力推進,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_payload_01,Text,,Large Payloads,Grandes charges utiles,Carichi grandi,Große Nutzlast,Cargas útiles grandes,大型ペイロード,대형 페이로드,Wielkie ładownie,Большие грузовые модули,大型载荷,Cargas Grandes,大型酬載,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_payload_02,Text,,Space Shuttles,Navettes spatiales,Space Shuttle,Weltraum-Shuttles,Transbordadores espaciales,スペースシャトル,우주 셔틀,Promy kosmiczne,Космические шаттлы,航天飞机,Aviões Espaciais,太空梭,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_rockets_01,Text,,Heavy Rocketry,Fuséologie lourde,Missilistica pesante,Technik für schwere Raketen,Ingeniería espacial pesada,大型ロケット工学,대형 로켓 부품,Ciężka technika rakietowa,Тяжелые ракеты,重型火箭学,Foguetes Pesados,重型火箭,Tech Node Name,Ready to Test
Science/TechNodes/Names/tNode_3v_rockets_02,Text,,Heavy Launchers,Lanceurs lourds,Vettori pesanti,Schwere Starttriebwerke,Lanzadores pesados,大型ランチャー,대형 발사체,Ciężkie startery,Тяжелые носители,重型发射器,Lançadores Pesados,重型發射器,Tech Node Name,Ready to Test
